ETHNICITY,ETHNICITY_RECAT,AB_GROUP,AB_TRIBE,AB_LANG
E (?),Out,,,
Dutch Or Ger,Others,,,
Dutch Irish,Others,,,
Dutch B,Others,,,
Dush,Out,,,
Dunish,Out,,,
Doutch,Out,,,
Dennark,Others,,,
Denark,Others,,,
Demmark,Others,,,
Delgarean,Out,,,
Delaware I B,Ab,Metis,,
Dean,Out,,,
Danside,Out,,,
Dansh,Out,,,
Danrish,Out,,,
Danrise,Out,,,
Danosh,Out,,,
Danors,Out,,,
Dannois,Out,,,
Danmark,Others,,,
Dani,Others,,,
Dames,Others,,,
Damak,Others,,,
D Scotch,Out,,,
D English,Out,,,
Cuba,Others,,,
Cu,Out,,,
Crre O B,Out,,,
Crn Mf,Out,,,
Crise M,Out,,,
Cri M C,Out,,,
Cri M,Out,,,
Cri A Irl,Out,,,
Cress S B,Ab,Metis,,
Cree Scotch,Ab,Metis,,
Cree Sc B,Ab,Metis,,
Cree Saulteaux,Ab,Metis,,
Cree S C,Ab,Metis,,
Cree M Ecossaise,Ab,Metis,,
Cree Fr B,Ab,Metis,,
Cree Fd,Ab,Metis,,
Cree F B.,Ab,Metis,,
Cree F,Ab,Metis,,
Cree Breed,Ab,Metis,,
Cre E B,Ab,Metis,,
Cpt Me,Out,,,
Comon,Out,,,
Claypool,Out,,,
Chnese,Out,,,
Chnee,Out,,,
Chippewa E. B,Ab,Metis,,
Chippawa S B,Ab,Metis,,
Chipley,Out,,,
Chipewa F. B,Ab,Metis,,
Chipel,Out,,,
Chipac,Out,,,
Chip B,Ab,Metis,,
Chinooke Indian,Ab,,,
Chinoisse,Ch,,,
Chinoire,Ch,,,
Chinoese,Ch,,,
Chinise,Ch,,,
Chinea,Ch,,,
Chinais,Ch,,,
Chinai,Ch,,,
Chenois,Out,,,
Ch Mongof,Out,,,
Ch Englis,Out,,,
Celtie,Out,,,
Cayuga Ob,Ab,Metis,,
Caucessier,Out,,,
Caucausian,Out,,,
Catha,Out,,,
Cassier Sb,Ab,Metis,,
Case Cb,Ab,Metis,,
Cascade,Out,,,
Casca Ib,Ab,Metis,,
Carrier F. B,Ab,Metis,,
Canidien,Others,,,
Cane,Out,,,
Canadienne F,Fr,,,
Canadien Fran,Fr,,,
Canadian Fb,Ab,Metis,,
Canadian F,Fr,,,
Can Met Fr,Out,,,
Can German,Others,,,
Calf Presb,Out,,,
Calacian,Others,,,
Cah(?),Out,,,
Cab Germ,Out,,,
Ca Scotch,Out,,,
C Irish B,Out,,,
C Franca,Out,,,
C Eng,Out,,,
C Dutch,Out,,,
C Beads,Out,,,
C B B,Out,,,
Born,Out,,,
Bolemian,Others,,,
Bohemienne,Others,,,
Bohemien,Others,,,
Blkwater Ind,Out,,,
Black For,Others,,,
Bely,Out,,,
Belt,Out,,,
Belop,Out,,,
Bella Coola,Out,,,
Belize,Out,,,
Belium,Others,,,
Belgue,Out,,,
Belgran,Out,,,
Belge Flament,Out,,,
Belga,Out,,,
Belere,Out,,,
Batch,Out,,,
Basson O. B.,Out,,,
Babtist,Out,,,
B French B,Out,,,
B F,Out,,,
Austrian Pole,Others,,,
Asyerian,Others,,,
Assyerian,Out,,,
Assin S B,Ab,Metis,,
Assin O B,Ab,Metis,,
Aretranche,Others,,,
Apper Mohawk,Out,,,
Ap Eng,Out,,,
Angonquin Fb,Ab,Metis,,
Anglins,Out,,,
Anglies,Out,,,
Anglice,Out,,,
Angleers,Out,,,
Angleaise,Out,,,
